site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
AUCK 95MAY31 1995.4114 49868  803 3  174.8   3076  0.542713  -4052437 -0.248693   132  0.700912  0.0025 0.000963 0.001000 0.003644 -0.087185 -0.055484  0.158211 -36.6028461121 -185.1656146458   132.70091
AUCK 95JUN01 1995.4141 49869  803 4  174.8   3076  0.540893  -4052437 -0.243142   132  0.691049  0.0025 0.000921 0.000968 0.003568 -0.057727 -0.069059  0.127834 -36.6028460621 -185.1656146661   132.69105
AUCK 95SEP18 1995.7125 49978  819 1  174.8   3076  0.534670  -4052437 -0.238254   132  0.680948  0.0180 0.000900 0.000972 0.003472 -0.061450 -0.083820  0.125871 -36.6028460180 -185.1656147357   132.68095
AUCK 95SEP19 1995.7153 49979  819 2  174.8   3076  0.530306  -4052437 -0.236401   132  0.677724  0.0180 0.000889 0.000955 0.003471 -0.066231 -0.000948  0.139877 -36.6028460013 -185.1656147845   132.67772
AUCK 95SEP20 1995.7180 49980  819 3  174.8   3076  0.534688  -4052437 -0.240542   132  0.697275  0.0018 0.000859 0.000923 0.003242 -0.050079 -0.058852  0.120808 -36.6028460386 -185.1656147355   132.69728
AUCK 95SEP21 1995.7207 49981  819 4  174.8   3076  0.535234  -4052437 -0.238100   132  0.680067  0.0180 0.000857 0.000920 0.003245 -0.024868 -0.082670  0.105518 -36.6028460166 -185.1656147294   132.68007
AUCK 95SEP22 1995.7235 49982  819 5  174.8   3076  0.535164  -4052437 -0.235854   132  0.678329  0.0180 0.000894 0.000929 0.003307 -0.053774 -0.138296  0.116362 -36.6028459964 -185.1656147302   132.67833
AUCK 95SEP23 1995.7262 49983  819 6  174.8   3076  0.533011  -4052437 -0.234940   132  0.677768  0.0180 0.000902 0.000941 0.003322 -0.082226 -0.128221  0.105090 -36.6028459881 -185.1656147543   132.67777
AUCK 95SEP24 1995.7290 49984  820 0  174.8   3076  0.536515  -4052437 -0.232798   132  0.671446  0.0180 0.000859 0.000914 0.003283 -0.035612 -0.070640  0.132440 -36.6028459688 -185.1656147151   132.67145
AUCK 95SEP25 1995.7317 49985  820 1  174.8   3076  0.535404  -4052437 -0.232614   132  0.674035  0.0180 0.000889 0.000952 0.003338 -0.050721 -0.082579  0.139077 -36.6028459672 -185.1656147275   132.67403
AUCK 95SEP26 1995.7344 49986  820 2  174.8   3076  0.538364  -4052437 -0.236845   132  0.692472  0.0018 0.000858 0.000938 0.003299 -0.070537  0.000902  0.125572 -36.6028460053 -185.1656146944   132.69247
AUCK 95SEP27 1995.7372 49987  820 3  174.8   3076  0.536198  -4052437 -0.234456   132  0.690890  0.0018 0.000895 0.000955 0.003463 -0.078024 -0.059424  0.164239 -36.6028459838 -185.1656147186   132.69089
